COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
225,179,BLOOD GLUCOSE SCREEN,EACH,1,9990290
235,418,~DIET CRYSTAL PEPSI,24/12O,1,54950
235,419,~CRYSTAL PEPSI 24 PA,24/12O,1,54940
235,420,PEPSI COLA CANS,24/12O,1,54880
235,421,PEPSI DIET CANS,24/12O,1,54890
235,422,PEPSI CAFFEINE FREE,24/12O,1,54800
235,423,DIET PEPSI CAFFEINE,24/12O,1,54790
235,424,HAWAIIAN PUNCH RED,24/12O,1,54830
235,425,DADS ROOT BEER,24/12O,1,54840
235,426,MOUNTAIN DEW,24/12O,1,54810
235,427,DIET MOUNTAIN DEW,24/12O,1,54820
235,428,LIPTON BRISK ICED TE,24/12O,1,62800
235,429,BIG RED,24/12O,1,56360
235,430,ROYAL CROWN COLA 24P,24/12O,1,62750
235,431,DIET RITE COLA CANS,24/12O,1,62760
235,432,DIET R.C. (CANS),24/12O,1,62730
235,433,LIPTON BRISK ICED TE,24/12O,1,62800
235,434,A&W CREAM SODA,24/12O,1,62830
235,435,A & W ROOT BEER,24/12O,1,62770
235,436,NEHI FLAVORS / UPPER,24/12O,1,61340
235,437,TETLEY ICED TEA W/LE,24/12O,1,62880
238,438,OLD TOWN ICE TEA 24P,24/12O,1,63460
235,439,UPPER 10 24PK,24/12O,1,61300
235,440,7-UP,24/12O,1,62600
235,441,DIET 7-UP,24/12O,1,62610
235,442,DR. PEPPER,24/12O,1,62620
235,443,DIET DR PEPPER,24/12O,1,62630
235,444,CHERRY 7 UP,24/12O,1,62640
235,445,ORANGE CRUSH,24/12O,1,62530
235,446,ORANGE CRUSH,24/12O,1,62540
235,447,SQUIRT SODA,24/12O,1,62520
235,448,COUNTRYTIME LEMONADE,24/12O,1,57350
235,449,CHERRY COKE,24/12O,1,53180
235,450,COKE CLASSIC CANS,24/12O,1,52950
235,451,DIET COKE CANS,24/12O,1,52970
235,452,COKE II,24/12O,1,53000
235,453,SPRITE,24/12O,1,63030
235,454,SPRITE DIET,24/12O,1,52910
235,455,COCA COLA CAFF-FREE,24/12O,1,52980
235,456,BARQ'S ROOT BEER,24/12O,1,52960
235,457,CAFF FREE CLASSIC CO,24/12O,1,52890
235,458,DIET BARQS CANS,24/12O,1,53110
235,459,TAB CANS,24/12O,1,53100
235,460,SUNKIST ORANGE,24/12O,1,50450
235,461,CAN DRY GNGR ALE,24/12O,1,50440
235,462,CANFIELD 50/50,24/12O,1,50390
235,463,SUNKIST FLAVOR PACK,24/12O,1,50370
235,464,CANFIELD FUN PACK,24/12O,1,50380
235,465,CANFIELDS COLA 24PK,24/12O,1,50360
235,466,CANFIELDS DIET COLA,24/12O,1,50370
235,469,SUNNY DELIGHT,24 PAC,1,62970
227,470,DOMINICK'S CASE 12OZ,24/12O,1,1000
227,475,WLWD FULL CASE CODE,24/12O,1,10
235,480,MINUTE MAID ORANGE $,24/12O,1,52990
235,481,WELCH'S GRAPE SODA,24/12O,1,52760
235,482,WELCH'S STRAWBERRY S,24/12O,1,52770
235,485,SLICE LEMON-LIME,24/12O,1,56410
235,486,SLICE ORANGE,24 EA,1,56420
235,487,SEAGRAM'S GINGER ALE,24 EA,1,56400
235,488,MUG ROOT BEER,24 PK,1,75220
235,490,SCHWEPPES GINGER ALE,24/12O,1,59380
235,495,NEHI GRAPE 24 PK,24/12O,1,61320
225,10916645,ORENZADA,16 OZ,24,78330
241,10916745,LEMONIADA,16 OZ,24,78310
238,10967015,ORENZADA 2LTR,2 LT,6,78320
238,10967016,LEMONIADA,2 LT,6,78300
238,10967017,MANDARYNDA (ORANGE S,2 LT,6,78340
238,10967051,WODA SODOWA (SELTZER,2 LT,6,78350
233,1060810005,OLD TOWN NAT SLTZER,1 LT,12,62130
238,1060810010,OLD TOWNE SELTZER W/,1 LT,12,62140
238,1060820016,OLD TOWN GNGR ALE PP,2 LT,8,62120
237,1060830006,OLD TOWNE LEM-LIME,6/12OZ,4,63580
237,1060830007,OLD TOWNE PINEAPPLE,6/12OZ,4,63500
225,1060830015,OLD TOWN GINGER ALE,6/12OZ,4,61830
237,1060830026,OLD TOWNE STRAWBERRY,6/12OZ,4,63520
237,1060830027,OLD TOWNE TROP PUNCH,6/12OZ,4,63540
237,1060830029,OLD TOWNE ORANGE,6/12OZ,4,63560
237,1060830035,OLD TOWNE ICED TEA,6/12OZ,4,63620
237,1060830036,OLD TOWNE DT ICED TE,6/12OZ,4,63600
237,1060830037,OLD TOWNE BANANA MAN,6/12OZ,4,63660
237,1060830038,OLD TOWNE LEMONADE,6/12OZ,4,63640
241,1060831115,ENDURO GRAPEFRUIT TA,20 OZ,24,63910
241,1060831116,ENDURO ORNG APRIC SI,20 OZ,24,61030
241,1060831117,ENDURO CRANBERRY SIN,20 OZ,24,61050
241,1060831118,ENDURO LEMON ORNG SI,20 OZ,24,61040
241,1060831119,ENDURO POLYNESIAN PU,20 OZ,24,63890
241,1060831120,ENDURO CONCORD GRAPE,20 OZ,24,63900
241,1060849926,OLD TOWNE WILD STRAW,20 OZ,24,63870
241,1060849927,OLD TOWNE TROP PUNCH,6/20 O,24,63880
241,1060849928,OLD TOWNE CONCORD GR,20 OZ,24,63830
241,1060849929,OLD TOWNE ORANGE,20 OZ,24,63840
241,1060849930,OLD TOWNE LEMON LIME,20 OZ,24,63850
241,1060849933,OLD TOWNE PINEAPPLE,20 OZ,24,63860
241,1060849935,OLD TOWNE ICED TEA,20 OZ,24,63800
